,prm,res
42,"[1.000999999999999, 0.307, 2.241, -0.035999999999999005, -0.8, 3784.0, 2112.0, 0.8499999999999991, 0.23999999999999902, 0.7089999999999991]",371322.01792277803
43,"[2.611, 0.307, -0.7289999999999991, -0.055, -0.8, 3702.0, 1515.0, 4.419999999999999, 2.5, 0.532]",168050.5276439665
44,"[-0.6959999999999991, 0.307, 2.958, 0.36799999999999905, -0.8, 4905.0, 1420.0, 8.18, 6.82, 0.664]",1528061.7110418011
45,"[0.9449999999999991, 0.307, 1.203, 0.755, -0.8, 4284.0, 2856.0, 6.66, 0.39, 0.7189999999999991]",435675.0619641535
46,"[-0.5689999999999991, 0.307, 1.848, -0.002, -0.8, 4721.0, 1413.0, 5.19, 8.72, 0.552]",37038.853503251135
47,"[1.591, 0.307, 4.269, 0.47099999999999903, -0.8, 4948.0, 1862.0, 4.11, 6.429999999999999, 0.562]",73428.88922360506
48,"[0.562, 0.307, -0.247, -0.451, -0.8, 3411.0, 2250.0, 2.48, 2.56, 0.628]",26082.879487576716
49,"[4.144, 0.307, 2.896999999999999, -0.399, -0.8, 3277.0, 1547.0, 3.819999999999999, 9.94, 0.7329999999999991]",2193687.8734014193
50,"[-0.9639999999999991, 0.307, 1.502999999999999, -0.082, -0.8, 4519.0, 1242.0, 3.899999999999999, 9.4, 0.632]",1072380.5577856577
51,"[3.726, 0.307, 1.202, 0.281, -0.8, 3626.0, 1376.0, 7.08, 2.669999999999999, 0.7279999999999991]",857201.3414704675
52,"[3.343999999999999, 0.307, 2.512999999999999, 0.07199999999999901, -0.8, 4436.0, 2393.0, 8.33, 3.109999999999999, 0.7049999999999991]",1263565.573136707
53,"[0.312, 0.307, 3.903999999999999, -0.496, -0.8, 4077.0, 1993.0, 7.33, 9.62, 0.512]",270009.62645983096
54,"[4.299, 0.307, 3.269, 0.9519999999999991, -0.8, 4949.0, 1291.0, 8.83, 1.399999999999999, 0.7169999999999991]",556393.3325529231
55,"[0.112, 0.307, 2.008, 0.127, -0.8, 3403.0, 2599.0, 9.43, 3.43, 0.537]",57131.6811552453
56,"[1.290999999999999, 0.307, -0.07, 0.121, -0.8, 4326.0, 1000.0, 2.759999999999999, 3.02, 0.543]",101683.36325795345
57,"[-0.36399999999999905, 0.307, 1.731, 0.311, -0.8, 3585.0, 1851.0, 4.009999999999999, 0.79, 0.513]",359013.92618889036
58,"[1.425, 0.307, 1.827, 0.14399999999999902, -0.8, 3919.0, 2627.0, 2.919999999999999, 7.799999999999999, 0.7099999999999991]",1806881.029637707
59,"[1.667, 0.307, 2.069999999999999, 0.29799999999999904, -0.8, 3263.0, 1913.0, 1.09, 0.9599999999999991, 0.5679999999999991]",253530.37741001815
60,"[1.842, 0.307, 4.125, -0.265, -0.8, 3592.0, 1702.0, 2.99, 0.48999999999999905, 0.651]",92700.24479009795
61,"[1.454, 0.307, 3.774, 0.803, -0.8, 4354.0, 1753.0, 8.48, 4.83, 0.6949999999999991]",1510102.5316342511
62,"[1.528999999999999, 0.307, 1.183999999999999, 0.6959999999999991, -0.8, 3511.0, 2129.0, 8.83, 4.089999999999999, 0.522]",154761.70407492341
63,"[1.248, 0.307, 2.442, -0.17199999999999901, -0.8, 3977.0, 2637.0, 1.7000000000000002, 7.57, 0.749]",1438374.7933372306
64,"[1.149999999999999, 0.307, 0.5899999999999991, 0.7279999999999991, -0.8, 4065.0, 1538.0, 7.83, 7.349999999999999, 0.526]",96765.91694379636
65,"[1.530999999999999, 0.307, 3.939999999999999, -0.42399999999999904, -0.8, 4888.0, 1932.0, 1.03, 4.98, 0.649]",256925.14098940985
66,"[-0.8279999999999991, 0.307, 3.492, 0.5649999999999991, -0.8, 3102.0, 1687.0, 8.4, 7.62, 0.647]",1175155.1390624058
67,"[1.669999999999999, 0.307, -0.5949999999999991, 0.8820000000000001, -0.8, 4490.0, 1177.0, 5.599999999999999, 8.61, 0.559]",79080.29304779971
68,"[-0.771, 0.307, 4.235, -0.023, -0.8, 3154.0, 1063.0, 9.5, 5.379999999999999, 0.659]",1119278.7607491836
69,"[2.773, 0.307, 3.154999999999999, 0.751, -0.8, 4379.0, 2832.0, 4.639999999999999, 6.65, 0.5669999999999991]",86183.4040839835
70,"[-0.546, 0.307, 2.732, 0.189, -0.8, 4991.0, 2013.0, 7.059999999999999, 6.839999999999999, 0.629]",956359.8822918127
71,"[2.015, 0.307, 0.374, -0.36899999999999905, -0.8, 3354.0, 2895.0, 9.89, 0.23999999999999902, 0.7149999999999991]",642659.0673395875
72,"[4.769, 0.307, 3.873, 0.8579999999999991, -0.8, 4102.0, 2726.0, 4.2, 5.669999999999999, 0.519]",178347.9986606296
73,"[0.259, 0.307, -0.5679999999999991, 0.133, -0.8, 4239.0, 1014.0, 0.7199999999999991, 7.559999999999999, 0.745]",1181941.350204729
74,"[1.413, 0.307, 2.900999999999999, 0.504, -0.8, 3916.0, 1222.0, 8.66, 7.769999999999999, 0.5829999999999991]",222960.78348455008
75,"[0.13, 0.307, 3.805, 0.36199999999999904, -0.8, 4599.0, 2897.0, 3.609999999999999, 7.759999999999999, 0.659]",1272476.4056729798
